group,delta_acc,delta_macro_f1,lambda_align
Low-D,-0.022967101179391713,-0.05482424861159535,0.01
Mid-D,-0.04303147077713554,-0.08253575622848264,0.01
High-D,-0.042711864406779654,-0.0556097799240427,0.01
Overall,-0.03596812405772126,-0.0629864691184735,0.01
