method,group,n,acc,macro_f1,lambda_align
Concat,Low-D,1611.0,0.46306641837368095,0.38090132549352407,
Concat,Mid-D,1557.0,0.5439948619139371,0.495611940607484,
Concat,High-D,1475.0,0.5349152542372881,0.46514351263851134,
Concat,Overall,4643.0,0.5130303682963601,0.44589604398515287,
UncondAlign,Low-D,1611.0,0.44009931719428924,0.3260770768819287,0.01
UncondAlign,Mid-D,1557.0,0.5009633911368016,0.41307618437900134,0.01
UncondAlign,High-D,1475.0,0.4922033898305085,0.40953373271446863,0.01
UncondAlign,Overall,4643.0,0.4770622442386388,0.38290957486667937,0.01
