method,group,n,acc,macro_f1,lambda_align
Concat,High-D+Low-R,737.0,0.46675712347354137,0.4283528993564749,
Concat,High-D+High-R,738.0,0.6029810298102981,0.40528666090463844,
UncondAlign,High-D+Low-R,737.0,0.43419267299864317,0.3681178868853939,0.01
UncondAlign,High-D+High-R,738.0,0.5501355013550135,0.3718029385280513,0.01
