lambda_align,group,n,concat_acc,align_acc,delta_acc,concat_macro_f1,align_macro_f1,delta_macro_f1,valid_macro_f1,valid_acc
0.01,High-D+Low-R,737.0,0.46675712347354137,0.43419267299864317,-0.0325644504748982,0.4283528993564749,0.3681178868853939,-0.06023501247108104,0.4011320230309703,0.5066880684858213
0.01,High-D+High-R,738.0,0.6029810298102981,0.5501355013550135,-0.05284552845528456,0.40528666090463844,0.3718029385280513,-0.033483722376587144,0.4011320230309703,0.5066880684858213
0.05,High-D+Low-R,737.0,0.46675712347354137,0.4233378561736771,-0.043419267299864284,0.4283528993564749,0.2932250161756817,-0.13512788318079322,0.35459727556639936,0.49919743178170145
0.05,High-D+High-R,738.0,0.6029810298102981,0.5555555555555556,-0.04742547425474253,0.40528666090463844,0.37373979097743515,-0.03154686992720329,0.35459727556639936,0.49919743178170145
0.1,High-D+Low-R,737.0,0.46675712347354137,0.3948439620081411,-0.07191316146540028,0.4283528993564749,0.2988074193949956,-0.1295454799614793,0.3493971685177127,0.4724451578384163
0.1,High-D+High-R,738.0,0.6029810298102981,0.55420054200542,-0.04878048780487809,0.40528666090463844,0.3391640743399537,-0.06612258656468473,0.3493971685177127,0.4724451578384163
0.5,High-D+Low-R,737.0,0.46675712347354137,0.4084124830393487,-0.058344640434192685,0.4283528993564749,0.2588595911253455,-0.1694933082311294,0.32073904695263916,0.47298020331728197
0.5,High-D+High-R,738.0,0.6029810298102981,0.5,-0.10298102981029811,0.40528666090463844,0.3444779793914956,-0.06080868151314284,0.32073904695263916,0.47298020331728197
