group,delta_acc,delta_macro_f1,lambda_align
Low-D,-0.011111111111111127,-0.008158167144342254,0.1
Mid-D,0.0034482758620689724,-0.0010225870678612914,0.1
High-D,-0.01851851851851849,-0.03250780178640872,0.1
Overall,-0.007288629737609353,-0.013309735038239623,0.1
