method,group,n,acc,macro_f1,lambda_align
Concat,Low-D,180.0,0.48333333333333334,0.35257335257335254,
Concat,Mid-D,290.0,0.603448275862069,0.42458366848392765,
Concat,High-D,216.0,0.5972222222222222,0.46540323746206097,
Concat,Overall,686.0,0.5699708454810496,0.42092317374620575,
UncondAlign,Low-D,180.0,0.4722222222222222,0.3444151854290103,0.1
UncondAlign,Mid-D,290.0,0.6068965517241379,0.42356108141606635,0.1
UncondAlign,High-D,216.0,0.5787037037037037,0.43289543567565225,0.1
UncondAlign,Overall,686.0,0.5626822157434402,0.4076134387079661,0.1
