lambda_align,group,n,concat_acc,align_acc,delta_acc,concat_macro_f1,align_macro_f1,delta_macro_f1,valid_macro_f1,valid_acc
0.01,High-D+Low-R,746.0,0.613941018766756,0.6166219839142091,0.002680965147453085,0.5986590456493459,0.5991605532607184,0.0005015076113724648,0.6186494720230374,0.6313536650615302
0.01,High-D+High-R,747.0,0.7429718875502008,0.7483266398929049,0.0053547523427041055,0.7235026385607936,0.7271549223255832,0.0036522837647896544,0.6186494720230374,0.6313536650615302
0.05,High-D+Low-R,746.0,0.613941018766756,0.6206434316353887,0.006702412868632712,0.5986590456493459,0.6043296236609357,0.005670578011589766,0.6091049037852779,0.6185125735687533
0.05,High-D+High-R,747.0,0.7429718875502008,0.7536813922356091,0.010709504685408322,0.7235026385607936,0.7243621678600242,0.0008595292992306103,0.6091049037852779,0.6185125735687533
0.1,High-D+Low-R,746.0,0.613941018766756,0.6246648793565683,0.01072386058981234,0.5986590456493459,0.6067140725021726,0.008055026852826663,0.6108655134577905,0.6195826645264848
0.1,High-D+High-R,747.0,0.7429718875502008,0.7536813922356091,0.010709504685408322,0.7235026385607936,0.7260033419557371,0.002500703394943571,0.6108655134577905,0.6195826645264848
0.5,High-D+Low-R,746.0,0.613941018766756,0.6152815013404825,0.0013404825737265424,0.5986590456493459,0.5873853565271115,-0.011273689122234365,0.607794212651649,0.6120920278223649
0.5,High-D+High-R,747.0,0.7429718875502008,0.7523427041499331,0.009370816599732268,0.7235026385607936,0.7191043924308431,-0.004398246129950434,0.607794212651649,0.6120920278223649
