method,group,n,acc,macro_f1,lambda_align
Concat,Low-D,1468.0,0.5742506811989101,0.5025658578075923,
Concat,Mid-D,1682.0,0.6016646848989299,0.5751522721980932,
Concat,High-D,1493.0,0.6784996651038178,0.6692875733889986,
Concat,Overall,4643.0,0.6177040706439801,0.6154272082775009,
UncondAlign,Low-D,1468.0,0.5626702997275205,0.4928693760602593,0.01
UncondAlign,Mid-D,1682.0,0.5992865636147443,0.5749423491149006,0.01
UncondAlign,High-D,1493.0,0.6825184192900201,0.6710903887663755,0.01
UncondAlign,Overall,4643.0,0.6144734008184364,0.6135489249886762,0.01
