group,delta_acc,delta_macro_f1,lambda_align
Low-D,-0.011580381471389622,-0.009696481747333008,0.01
Mid-D,-0.0023781212841855748,-0.0002099230831925647,0.01
High-D,0.004018754186202345,0.0018028153773769207,0.01
Overall,-0.003230669825543764,-0.001878283288824667,0.01
