lambda_align,group,n,concat_acc,align_acc,delta_acc,concat_macro_f1,align_macro_f1,delta_macro_f1,valid_macro_f1,valid_acc
0.01,High-D+Low-R,725.0,0.64,0.6455172413793103,0.0055172413793103114,0.6395635192518906,0.6411229109769047,0.0015593917250140699,0.620237444346459,0.6260032102728732
0.01,High-D+High-R,725.0,0.7531034482758621,0.7475862068965518,-0.0055172413793103114,0.7421549945763407,0.734851291626307,-0.007303702950033686,0.620237444346459,0.6260032102728732
0.05,High-D+Low-R,725.0,0.64,0.6427586206896552,0.0027586206896551557,0.6395635192518906,0.6402290400255264,0.0006655207736357971,0.6077036127789008,0.6185125735687533
0.05,High-D+High-R,725.0,0.7531034482758621,0.7503448275862069,-0.0027586206896551557,0.7421549945763407,0.7448398512259415,0.002684856649600831,0.6077036127789008,0.6185125735687533
0.1,High-D+Low-R,725.0,0.64,0.6441379310344828,0.004137931034482789,0.6395635192518906,0.6398978883215608,0.00033436906967021507,0.6130205639041844,0.6201177100053504
0.1,High-D+High-R,725.0,0.7531034482758621,0.7517241379310344,-0.0013793103448276334,0.7421549945763407,0.74108846093397,-0.0010665336423707483,0.6130205639041844,0.6201177100053504
0.5,High-D+Low-R,725.0,0.64,0.6427586206896552,0.0027586206896551557,0.6395635192518906,0.6413646290991829,0.0018011098472923148,0.5960154361020223,0.6072766185125735
0.5,High-D+High-R,725.0,0.7531034482758621,0.7462068965517241,-0.006896551724137945,0.7421549945763407,0.7346935892390437,-0.007461405337297,0.5960154361020223,0.6072766185125735
