method,group,n,acc,macro_f1,lambda_align
Concat,Low-D,1433.0,0.5471039776692254,0.4969828088632296,
Concat,Mid-D,1760.0,0.5903409090909091,0.5818641232139017,
Concat,High-D,1450.0,0.696551724137931,0.6932783164484987,
Concat,Overall,4643.0,0.6101658410510445,0.6096236025720515,
UncondAlign,Low-D,1433.0,0.5471039776692254,0.5127331898046377,0.01
UncondAlign,Mid-D,1760.0,0.5971590909090909,0.5892321193489705,0.01
UncondAlign,High-D,1450.0,0.696551724137931,0.6890925949270591,0.01
UncondAlign,Overall,4643.0,0.6127503769114796,0.6133761501133824,0.01
