group,delta_acc,delta_macro_f1,lambda_align
Low-D,0.0,0.01575038094140807,0.01
Mid-D,0.006818181818181834,0.007367996135068777,0.01
High-D,0.0,-0.004185721521439589,0.01
Overall,0.0025845358604350555,0.0037525475413309195,0.01
