group,delta_acc,delta_macro_f1,lambda_align
Low-D,-0.00970200970200974,0.003613327718155812,0.01
Mid-D,-0.0042475728155340065,-0.0032893020312297905,0.01
High-D,0.0,-0.0023977131390564566,0.01
Overall,-0.0045229377557612915,-0.003431145117063661,0.01
