lambda_align,group,n,concat_acc,align_acc,delta_acc,concat_macro_f1,align_macro_f1,delta_macro_f1,valid_macro_f1,valid_acc
0.01,High-D+Low-R,776.0,0.6430412371134021,0.645618556701031,0.002577319587628857,0.6378925923871014,0.6397375336813181,0.001844941294216751,0.6176506373482434,0.6238630283574104
0.01,High-D+High-R,776.0,0.7487113402061856,0.7461340206185567,-0.002577319587628857,0.7338014860627925,0.7288385198506001,-0.004962966212192388,0.6176506373482434,0.6238630283574104
0.05,High-D+Low-R,776.0,0.6430412371134021,0.6378865979381443,-0.005154639175257825,0.6378925923871014,0.6314523328491027,-0.006440259537998649,0.6101599074898795,0.6153023006955591
0.05,High-D+High-R,776.0,0.7487113402061856,0.7435567010309279,-0.005154639175257714,0.7338014860627925,0.7188271355260895,-0.01497435053670304,0.6101599074898795,0.6153023006955591
0.1,High-D+Low-R,776.0,0.6430412371134021,0.6417525773195877,-0.0012886597938144284,0.6378925923871014,0.6313626696889488,-0.006529922698152557,0.6110929512042796,0.6243980738362761
0.1,High-D+High-R,776.0,0.7487113402061856,0.7538659793814433,0.005154639175257714,0.7338014860627925,0.7438849958389464,0.01008350977615391,0.6110929512042796,0.6243980738362761
0.5,High-D+Low-R,776.0,0.6430412371134021,0.6391752577319587,-0.0038659793814433963,0.6378925923871014,0.63647235169859,-0.0014202406885114316,0.6000567311207836,0.6072766185125735
0.5,High-D+High-R,776.0,0.7487113402061856,0.7538659793814433,0.005154639175257714,0.7338014860627925,0.7295660422595408,-0.004235443803251693,0.6000567311207836,0.6072766185125735
