method,group,n,acc,macro_f1,lambda_align
Concat,Low-D,1443.0,0.5433125433125433,0.5044720511425781,
Concat,Mid-D,1648.0,0.5952669902912622,0.5886258980166956,
Concat,High-D,1552.0,0.6958762886597938,0.6936783833659156,
Concat,Overall,4643.0,0.6127503769114796,0.6128106972306272,
UncondAlign,Low-D,1443.0,0.5336105336105336,0.5080853788607339,0.01
UncondAlign,Mid-D,1648.0,0.5910194174757282,0.5853365959854658,0.01
UncondAlign,High-D,1552.0,0.6958762886597938,0.6912806702268591,0.01
UncondAlign,Overall,4643.0,0.6082274391557183,0.6093795521135635,0.01
