lambda_align,group,n,concat_acc,align_acc,delta_acc,concat_macro_f1,align_macro_f1,delta_macro_f1,valid_macro_f1,valid_acc
0.01,High-D+Low-R,748.0,0.6403743315508021,0.6363636363636364,-0.004010695187165791,0.6293205223275147,0.6276211010765657,-0.001699421250949018,0.6154090850558697,0.6243980738362761
0.01,High-D+High-R,749.0,0.7503337783711616,0.7516688918558078,0.001335113484646211,0.7169901346690898,0.7214806865065685,0.004490551837478707,0.6154090850558697,0.6243980738362761
0.05,High-D+Low-R,748.0,0.6403743315508021,0.6457219251336899,0.005347593582887722,0.6293205223275147,0.6366661995054671,0.0073456771779524255,0.6084975122372672,0.6185125735687533
0.05,High-D+High-R,749.0,0.7503337783711616,0.7556742323097463,0.005340453938584733,0.7169901346690898,0.7207352130717787,0.003745078402688895,0.6084975122372672,0.6185125735687533
0.1,High-D+Low-R,748.0,0.6403743315508021,0.6417112299465241,0.0013368983957219305,0.6293205223275147,0.6236369999988746,-0.0056835223286401115,0.6110233398206356,0.6163723916532905
0.1,High-D+High-R,749.0,0.7503337783711616,0.753004005340454,0.002670226969292422,0.7169901346690898,0.7168203965550761,-0.00016973811401366223,0.6110233398206356,0.6163723916532905
0.5,High-D+Low-R,748.0,0.6403743315508021,0.6243315508021391,-0.016042780748663055,0.6293205223275147,0.6021621093475223,-0.02715841297999233,0.5878083410081673,0.5906902086677368
0.5,High-D+High-R,749.0,0.7503337783711616,0.7409879839786382,-0.009345794392523366,0.7169901346690898,0.6968006329303463,-0.020189501738743454,0.5878083410081673,0.5906902086677368
