group,delta_acc,delta_macro_f1,lambda_align
Low-D,0.008275862068965467,0.01805500126653964,0.01
Mid-D,-0.000589622641509413,-0.0010593785276803436,0.01
High-D,-0.0013360053440214514,0.0022852218456875795,0.01
Overall,0.001938401895326236,0.0022111086298656213,0.01
