method,group,n,acc,macro_f1,lambda_align
Concat,Low-D,1450.0,0.5420689655172414,0.46766858534282374,
Concat,Mid-D,1696.0,0.5972877358490566,0.5839166902879888,
Concat,High-D,1497.0,0.6953907815631263,0.6767222095717575,
Concat,Overall,4643.0,0.6116734869696318,0.6113460968073169,
UncondAlign,Low-D,1450.0,0.5503448275862068,0.4857235866093634,0.01
UncondAlign,Mid-D,1696.0,0.5966981132075472,0.5828573117603084,0.01
UncondAlign,High-D,1497.0,0.6940547762191048,0.6790074314174451,0.01
UncondAlign,Overall,4643.0,0.613611888864958,0.6135572054371825,0.01
