group,delta_acc_mean,delta_acc_std,delta_acc_count,delta_macro_f1_mean,delta_macro_f1_std,delta_macro_f1_count,lambda_align_mean,lambda_align_std,lambda_align_count
High-D+High-R,0.010779225698216658,0.04699203134369506,5,0.007847483972915164,0.06009575384133815,5,0.124,0.21113976413740734,5
High-D+Low-R,-0.003359902052313139,0.06801207671906574,5,0.02947606601743182,0.04009591082662106,5,0.124,0.21113976413740734,5
