method,group,acc_mean,acc_std,acc_count,macro_f1_mean,macro_f1_std,macro_f1_count,n_mean,n_std,n_count
Concat,High-D,0.53573582599789,0.04144235739490189,5,0.4314094998491128,0.05142123890971105,5,231.4,16.592166826548006,5
Concat,Low-D,0.47713957068456614,0.03267337488700948,5,0.3675793451250218,0.031225782084394,5,199.4,23.74447304111001,5
Concat,Mid-D,0.6210005315374747,0.018922708552976248,5,0.49253015672949296,0.026606039768833568,5,255.2,20.57182539299807,5
Concat,Overall,0.5501457725947522,0.013384115371589534,5,0.4394229513964077,0.02716875822357875,5,686.0,0.0,5
UncondAlign,High-D,0.5394528964501244,0.0272182421670727,5,0.4526704020761751,0.02255992273488064,5,231.4,16.592166826548006,5
UncondAlign,Low-D,0.4714853165124494,0.016772020174172456,5,0.4143733779813249,0.02690680229299382,5,199.4,23.74447304111001,5
UncondAlign,Mid-D,0.6178045385034712,0.017570755512014414,5,0.5070412937932824,0.03139115305619675,5,255.2,20.57182539299807,5
UncondAlign,Overall,0.5492711370262391,0.013882878659835724,5,0.4687861393986353,0.01953502500387763,5,686.0,0.0,5
