group,delta_acc,delta_macro_f1,lambda_align
Low-D,-0.0007122507122507837,0.022289790287277622,0.05
Mid-D,0.009535160905840279,0.019385170143392694,0.05
High-D,-0.0032030749519538215,-0.004628462480029016,0.05
Overall,0.0021537798836959166,0.00526209788555243,0.05
