method,group,n,acc,macro_f1,lambda_align
Concat,Low-D,1404.0,0.5356125356125356,0.46926134940081426,
Concat,Mid-D,1678.0,0.5947556615017878,0.5705474689330242,
Concat,High-D,1561.0,0.6918641896220371,0.6860881708576961,
Concat,Overall,4643.0,0.6095197070859358,0.6074883899962364,
UncondAlign,Low-D,1404.0,0.5349002849002849,0.4915511396880919,0.05
UncondAlign,Mid-D,1678.0,0.6042908224076281,0.5899326390764169,0.05
UncondAlign,High-D,1561.0,0.6886611146700833,0.6814597083776671,0.05
UncondAlign,Overall,4643.0,0.6116734869696318,0.6127504878817889,0.05
