method,group,n,acc,macro_f1,lambda_align
Concat,Low-D,1455.0,0.5505154639175258,0.48679503247577993,
Concat,Mid-D,1716.0,0.6124708624708625,0.5961193648285118,
Concat,High-D,1472.0,0.6875,0.6780351990451328,
Concat,Overall,4643.0,0.6168425586905019,0.616589041394353,
UncondAlign,Low-D,1455.0,0.5553264604810997,0.4853500189742584,0.1
UncondAlign,Mid-D,1716.0,0.5990675990675991,0.5749943309689813,0.1
UncondAlign,High-D,1472.0,0.6820652173913043,0.6711995854564826,0.1
UncondAlign,Overall,4643.0,0.6116734869696318,0.6080876752896204,0.1
