group,delta_acc,delta_macro_f1,lambda_align
Low-D,0.004810996563573866,-0.0014450135015215415,0.1
Mid-D,-0.013403263403263366,-0.021125033859530462,0.1
High-D,-0.005434782608695676,-0.006835613588650147,0.1
Overall,-0.005169071720870111,-0.008501366104732622,0.1
