group,delta_acc_mean,delta_acc_std,delta_acc_count,delta_macro_f1_mean,delta_macro_f1_std,delta_macro_f1_count,lambda_align_mean,lambda_align_std,lambda_align_count
High-D+High-R,0.00244048502036584,0.0060552855400755065,10,0.00220027796897618,0.008222613259694572,10,0.027000000000000003,0.030568684048294336,10
High-D+Low-R,0.00157655473820268,0.007260377425015542,10,0.0019304977598341,0.0062458381565289834,10,0.027000000000000003,0.030568684048294336,10
