method,group,acc_mean,acc_std,acc_count,macro_f1_mean,macro_f1_std,macro_f1_count,n_mean,n_std,n_count
Concat,High-D,0.6843368985332534,0.010079126395748718,10,0.6753313560383415,0.012782756471446206,10,1507.8,39.177090811396965,10
Concat,Low-D,0.5521152032119305,0.012977354201253762,10,0.5003441186611014,0.023550845203203268,10,1441.4,55.75382398444872,10
Concat,Mid-D,0.5977303634659366,0.005334137044747726,10,0.5844719792548008,0.005516899054447025,10,1693.8,54.66626016109024,10
Concat,Overall,0.611565797975447,0.004198796814015262,10,0.6114975408696279,0.0037395002594561,10,4643.0,0.0,10
UncondAlign,High-D,0.6863463624917819,0.010496037716016426,10,0.6770497292022633,0.012034419862989646,10,1507.8,39.177090811396965,10
UncondAlign,Low-D,0.5502225512525405,0.00960176085890196,10,0.5019523373917576,0.010955091964197815,10,1441.4,55.75382398444872,10
UncondAlign,Mid-D,0.5985940150570261,0.003521871818208126,10,0.5856579000952989,0.005813323759219349,10,1693.8,54.66626016109024,10
UncondAlign,Overall,0.612061167348697,0.003030296774988501,10,0.612398430061582,0.003241770789610058,10,4643.0,0.0,10
