group,delta_acc_mean,delta_acc_std,delta_acc_count,delta_macro_f1_mean,delta_macro_f1_std,delta_macro_f1_count,lambda_align_mean,lambda_align_std,lambda_align_count
High-D,0.00200946395852844,0.0055573820713646065,10,0.0017183731639217599,0.006208069848776351,10,0.027000000000000003,0.030568684048294336,10
Low-D,-0.00189265195939001,0.010944804405899263,10,0.0016082187306561604,0.025029103108493225,10,0.027000000000000003,0.030568684048294336,10
Mid-D,0.0008636515910896498,0.006348008054306168,10,0.0011859208404982212,0.003083028252672424,10,0.027000000000000003,0.030568684048294336,10
Overall,0.0004953693732500401,0.003546368608726738,10,0.00090088919195417,0.003614042002463252,10,0.027000000000000003,0.030568684048294336,10
