seed,run_dir,method,group,n,acc,macro_f1,lambda_align
1,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205150,Concat,High-D+Low-R,761.0,0.6373193166885677,0.632686544215966,
1,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205150,Concat,High-D+High-R,762.0,0.7375328083989501,0.7349895347687264,
1,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205150,UncondAlign,High-D+Low-R,761.0,0.6452036793692509,0.6347996330478786,0.1
1,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205150,UncondAlign,High-D+High-R,762.0,0.7493438320209974,0.7464314942781719,0.1
2,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205333,Concat,High-D+Low-R,725.0,0.64,0.6395635192518906,
2,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205333,Concat,High-D+High-R,725.0,0.7531034482758621,0.7421549945763407,
2,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205333,UncondAlign,High-D+Low-R,725.0,0.6455172413793103,0.6411229109769047,0.01
2,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205333,UncondAlign,High-D+High-R,725.0,0.7475862068965518,0.734851291626307,0.01
3,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205513,Concat,High-D+Low-R,730.0,0.6397260273972603,0.6308613732886915,
3,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205513,Concat,High-D+High-R,731.0,0.7428180574555403,0.7230824599749557,
3,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205513,UncondAlign,High-D+Low-R,730.0,0.6424657534246575,0.6369928749434437,0.05
3,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205513,UncondAlign,High-D+High-R,731.0,0.7441860465116279,0.7181419589650019,0.05
4,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205746,Concat,High-D+Low-R,776.0,0.6430412371134021,0.6378925923871014,
4,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205746,Concat,High-D+High-R,776.0,0.7487113402061856,0.7338014860627925,
4,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205746,UncondAlign,High-D+Low-R,776.0,0.645618556701031,0.6397375336813181,0.01
4,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205746,UncondAlign,High-D+High-R,776.0,0.7461340206185567,0.7288385198506001,0.01
5,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210025,Concat,High-D+Low-R,751.0,0.6271637816245007,0.611753198576728,
5,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210025,Concat,High-D+High-R,751.0,0.7217043941411452,0.7024717644552633,
5,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210025,UncondAlign,High-D+Low-R,751.0,0.6378162450066578,0.6249933168249212,0.05
5,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210025,UncondAlign,High-D+High-R,751.0,0.7243675099866844,0.7106157255485318,0.05
6,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210245,Concat,High-D+Low-R,746.0,0.613941018766756,0.5986590456493459,
6,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210245,Concat,High-D+High-R,747.0,0.7429718875502008,0.7235026385607936,
6,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210245,UncondAlign,High-D+Low-R,746.0,0.6166219839142091,0.5991605532607184,0.01
6,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210245,UncondAlign,High-D+High-R,747.0,0.7483266398929049,0.7271549223255832,0.01
7,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210523,Concat,High-D+Low-R,790.0,0.6025316455696202,0.5895198317079683,
7,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210523,Concat,High-D+High-R,791.0,0.7383059418457648,0.7297872709407299,
7,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210523,UncondAlign,High-D+Low-R,790.0,0.610126582278481,0.5982089658601423,0.01
7,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210523,UncondAlign,High-D+High-R,791.0,0.7496839443742098,0.7437300795087536,0.01
8,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210755,Concat,High-D+Low-R,748.0,0.6082887700534759,0.596984957839812,
8,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210755,Concat,High-D+High-R,748.0,0.7406417112299465,0.7135640990215347,
8,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210755,UncondAlign,High-D+Low-R,748.0,0.5989304812834224,0.5897248765711549,0.01
8,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210755,UncondAlign,High-D+High-R,748.0,0.7352941176470589,0.7043849447825107,0.01
9,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_211024,Concat,High-D+Low-R,761.0,0.6202365308804205,0.6029544824862045,
9,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_211024,Concat,High-D+High-R,762.0,0.7375328083989501,0.7332869837369133,
9,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_211024,UncondAlign,High-D+Low-R,761.0,0.6097240473061761,0.5971392790865168,0.01
9,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_211024,UncondAlign,High-D+High-R,762.0,0.7414698162729659,0.740004523064873,0.01
10,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_211255,Concat,High-D+Low-R,748.0,0.6403743315508021,0.6293205223275147,
10,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_211255,Concat,High-D+High-R,749.0,0.7503337783711616,0.7169901346690898,
10,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_211255,UncondAlign,High-D+Low-R,748.0,0.6363636363636364,0.6276211010765657,0.01
