lambda_align,group,delta_acc_mean,delta_acc_std,delta_acc_count,delta_macro_f1_mean,delta_macro_f1_std,delta_macro_f1_count,valid_macro_f1_mean,valid_macro_f1_std,valid_macro_f1_count,valid_acc_mean,valid_acc_std,valid_acc_count
0.01,High-D+High-R,0.0032482256379254802,0.006929348654826674,10,0.00393162924850912,0.008964565230291517,10,0.6172566723588174,0.0031738097460431588,10,0.6255216693418941,0.003579876773310175,10
0.01,High-D+Low-R,0.0004921558545224901,0.006968856175655358,10,0.0013108302740079858,0.0054766237435135,10,0.6172566723588174,0.0031738097460431588,10,0.6255216693418941,0.003579876773310175,10
0.05,High-D+High-R,0.00171244210813052,0.007071349562134392,10,0.00098338241419102,0.008247505056212943,10,0.6132023566936015,0.005408804538688768,10,0.6211342964151954,0.004612645109475347,10
0.05,High-D+Low-R,0.00507910653441022,0.0067966788810407235,10,0.0041217415807242195,0.00787420996911869,10,0.6132023566936015,0.005408804538688768,10,0.6211342964151954,0.004612645109475347,10
0.1,High-D+High-R,0.00447718507857413,0.004518119060049925,10,0.00492618626682563,0.007059082537807189,10,0.6141555036376678,0.003961976703273325,10,0.621669341894061,0.004735144091132333,10
0.1,High-D+Low-R,0.0028993369378051,0.006571358738479153,10,0.00026153767939566,0.008461836905170678,10,0.6141555036376678,0.003961976703273325,10,0.621669341894061,0.004735144091132333,10
0.5,High-D+High-R,-5.735049835771007e-05,0.00908695482245874,10,-0.00736321753381112,0.00912420452454141,10,0.5980740743080205,0.010456232357311076,10,0.6045478865703584,0.010902477071750977,10
0.5,High-D+Low-R,-0.0018457636560921197,0.01766383587316731,10,-0.004391464003551571,0.01684467766425445,10,0.5980740743080205,0.010456232357311076,10,0.6045478865703584,0.010902477071750977,10
