seed,run_dir,group,delta_acc,delta_macro_f1,lambda_align
1,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205150,High-D+Low-R,0.0078843626806832,0.0021130888319125,0.1
1,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205150,High-D+High-R,0.0118110236220473,0.0114419595094454,0.1
2,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205333,High-D+Low-R,0.0055172413793103,0.001559391725014,0.01
2,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205333,High-D+High-R,-0.0055172413793103,-0.0073037029500336,0.01
3,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205513,High-D+Low-R,0.0027397260273972,0.0061315016547521,0.05
3,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205513,High-D+High-R,0.0013679890560875,-0.0049405010099538,0.05
4,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205746,High-D+Low-R,0.0025773195876288,0.0018449412942167,0.01
4,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205746,High-D+High-R,-0.0025773195876288,-0.0049629662121923,0.01
5,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210025,High-D+Low-R,0.010652463382157,0.0132401182481931,0.05
5,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210025,High-D+High-R,0.0026631158455392,0.0081439610932685,0.05
6,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210245,High-D+Low-R,0.002680965147453,0.0005015076113724,0.01
6,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210245,High-D+High-R,0.0053547523427041,0.0036522837647896,0.01
7,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210523,High-D+Low-R,0.0075949367088608,0.0086891341521739,0.01
7,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210523,High-D+High-R,0.011378002528445,0.0139428085680236,0.01
8,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210755,High-D+Low-R,-0.0093582887700535,-0.007260081268657,0.01
8,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210755,High-D+High-R,-0.0053475935828876,-0.009179154239024,0.01
9,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_211024,High-D+Low-R,-0.0105124835742443,-0.0058152033996877,0.01
9,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_211024,High-D+High-R,0.0039370078740158,0.0067175393279597,0.01
10,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_211255,High-D+Low-R,-0.0040106951871657,-0.001699421250949,0.01
10,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_211255,High-D+High-R,0.0013351134846462,0.0044905518374787,0.01
