seed,run_dir,group,delta_acc,delta_macro_f1,lambda_align
8,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210755,Low-D,0.0137976346911957,0.0301213996408023,0.01
8,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210755,Mid-D,0.0024615384615385,0.0015354383508385,0.01
8,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210755,High-D,-0.0073529411764705,-0.0084768186601861,0.01
8,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210755,Overall,0.0030152918371741,0.0024810562984981,0.01
9,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_211024,Low-D,-0.0189075630252101,-0.048902013649697,0.01
9,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_211024,Mid-D,0.008274231678487,8.814944699431226e-05,0.01
9,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_211024,High-D,-0.0032829940906106,-0.0008679531783616,0.01
9,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_211024,Overall,-0.0038768037906525,-0.0060703844336315,0.01
10,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_211255,Low-D,0.0082758620689654,0.0180550012665396,0.01
10,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_211255,Mid-D,-0.0005896226415094,-0.0010593785276803,0.01
10,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_211255,High-D,-0.0013360053440214,0.0022852218456875,0.01
10,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_211255,Overall,0.0019384018953262,0.0022111086298656,0.01
