seed,run_dir,lambda_align,group,n,concat_acc,align_acc,delta_acc,concat_macro_f1,align_macro_f1,delta_macro_f1,valid_macro_f1,valid_acc
3,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205513,0.01,High-D+High-R,731.0,0.7428180574555403,0.7496580027359782,0.0068399452804378,0.7230824599749557,0.7280852972562349,0.0050028372812792,0.6178642075988541,0.6233279828785446
3,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205513,0.05,High-D+Low-R,730.0,0.6397260273972603,0.6424657534246575,0.0027397260273972,0.6308613732886915,0.6369928749434437,0.0061315016547521,0.6230813220246595,0.6286784376672017
3,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205513,0.05,High-D+High-R,731.0,0.7428180574555403,0.7441860465116279,0.0013679890560875,0.7230824599749557,0.7181419589650019,-0.0049405010099538,0.6230813220246595,0.6286784376672017
3,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205513,0.1,High-D+Low-R,730.0,0.6397260273972603,0.6438356164383562,0.0041095890410959,0.6308613732886915,0.6380455095155657,0.0071841362268741,0.6183265791061676,0.628143392188336
3,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205513,0.1,High-D+High-R,731.0,0.7428180574555403,0.7455540355677155,0.0027359781121751,0.7230824599749557,0.7280991474130577,0.005016687438102,0.6183265791061676,0.628143392188336
3,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205513,0.5,High-D+Low-R,730.0,0.6397260273972603,0.6493150684931507,0.0095890410958904,0.6308613732886915,0.6400552932351431,0.0091939199464515,0.6054327738617915,0.6120920278223649
3,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205513,0.5,High-D+High-R,731.0,0.7428180574555403,0.7455540355677155,0.0027359781121751,0.7230824599749557,0.7155961340831037,-0.0074863258918519,0.6054327738617915,0.6120920278223649
4,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205746,0.01,High-D+Low-R,776.0,0.6430412371134021,0.645618556701031,0.0025773195876288,0.6378925923871014,0.6397375336813181,0.0018449412942167,0.6176506373482434,0.6238630283574104
4,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205746,0.01,High-D+High-R,776.0,0.7487113402061856,0.7461340206185567,-0.0025773195876288,0.7338014860627925,0.7288385198506001,-0.0049629662121923,0.6176506373482434,0.6238630283574104
4,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205746,0.05,High-D+Low-R,776.0,0.6430412371134021,0.6378865979381443,-0.0051546391752578,0.6378925923871014,0.6314523328491027,-0.0064402595379986,0.6101599074898795,0.6153023006955591
4,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205746,0.05,High-D+High-R,776.0,0.7487113402061856,0.7435567010309279,-0.0051546391752577,0.7338014860627925,0.7188271355260895,-0.014974350536703,0.6101599074898795,0.6153023006955591
4,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205746,0.1,High-D+Low-R,776.0,0.6430412371134021,0.6417525773195877,-0.0012886597938144,0.6378925923871014,0.6313626696889488,-0.0065299226981525,0.6110929512042796,0.6243980738362761
4,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205746,0.1,High-D+High-R,776.0,0.7487113402061856,0.7538659793814433,0.0051546391752577,0.7338014860627925,0.7438849958389464,0.0100835097761539,0.6110929512042796,0.6243980738362761
4,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205746,0.5,High-D+Low-R,776.0,0.6430412371134021,0.6391752577319587,-0.0038659793814433,0.6378925923871014,0.63647235169859,-0.0014202406885114,0.6000567311207836,0.6072766185125735
4,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_205746,0.5,High-D+High-R,776.0,0.7487113402061856,0.7538659793814433,0.0051546391752577,0.7338014860627925,0.7295660422595408,-0.0042354438032516,0.6000567311207836,0.6072766185125735
5,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210025,0.01,High-D+Low-R,751.0,0.6271637816245007,0.6338215712383488,0.0066577896138481,0.611753198576728,0.6192634805423088,0.0075102819655807,0.612880898548917,0.6195826645264848
5,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210025,0.01,High-D+High-R,751.0,0.7217043941411452,0.7230359520639148,0.0013315579227696,0.7024717644552633,0.7107420975395525,0.0082703330842892,0.612880898548917,0.6195826645264848
5,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210025,0.05,High-D+Low-R,751.0,0.6271637816245007,0.6378162450066578,0.010652463382157,0.611753198576728,0.6249933168249212,0.0132401182481931,0.6222678400144069,0.6276083467094703
5,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210025,0.05,High-D+High-R,751.0,0.7217043941411452,0.7243675099866844,0.0026631158455392,0.7024717644552633,0.7106157255485318,0.0081439610932685,0.6222678400144069,0.6276083467094703
5,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210025,0.1,High-D+Low-R,751.0,0.6271637816245007,0.62982689747004,0.0026631158455392,0.611753198576728,0.6154414428661145,0.0036882442893864,0.6197768016573781,0.6249331193151418
5,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210025,0.1,High-D+High-R,751.0,0.7217043941411452,0.729693741677763,0.0079893475366178,0.7024717644552633,0.7200498602330542,0.0175780957777909,0.6197768016573781,0.6249331193151418
5,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210025,0.5,High-D+Low-R,751.0,0.6271637816245007,0.6351531291611185,0.0079893475366178,0.611753198576728,0.6194560474848129,0.0077028489080848,0.6024339684355764,0.6094168004280364
5,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210025,0.5,High-D+High-R,751.0,0.7217043941411452,0.7323568575233023,0.010652463382157,0.7024717644552633,0.7088437140923328,0.0063719496370695,0.6024339684355764,0.6094168004280364
6,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210245,0.01,High-D+Low-R,746.0,0.613941018766756,0.6166219839142091,0.002680965147453,0.5986590456493459,0.5991605532607184,0.0005015076113724,0.6186494720230374,0.6313536650615302
6,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210245,0.01,High-D+High-R,747.0,0.7429718875502008,0.7483266398929049,0.0053547523427041,0.7235026385607936,0.7271549223255832,0.0036522837647896,0.6186494720230374,0.6313536650615302
6,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210245,0.05,High-D+Low-R,746.0,0.613941018766756,0.6206434316353887,0.0067024128686327,0.5986590456493459,0.6043296236609357,0.0056705780115897,0.6091049037852779,0.6185125735687533
6,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210245,0.05,High-D+High-R,747.0,0.7429718875502008,0.7536813922356091,0.0107095046854083,0.7235026385607936,0.7243621678600242,0.0008595292992306,0.6091049037852779,0.6185125735687533
6,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210245,0.1,High-D+Low-R,746.0,0.613941018766756,0.6246648793565683,0.0107238605898123,0.5986590456493459,0.6067140725021726,0.0080550268528266,0.6108655134577905,0.6195826645264848
6,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210245,0.1,High-D+High-R,747.0,0.7429718875502008,0.7536813922356091,0.0107095046854083,0.7235026385607936,0.7260033419557371,0.0025007033949435,0.6108655134577905,0.6195826645264848
6,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210245,0.5,High-D+Low-R,746.0,0.613941018766756,0.6152815013404825,0.0013404825737265,0.5986590456493459,0.5873853565271115,-0.0112736891222343,0.607794212651649,0.6120920278223649
6,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210245,0.5,High-D+High-R,747.0,0.7429718875502008,0.7523427041499331,0.0093708165997322,0.7235026385607936,0.7191043924308431,-0.0043982461299504,0.607794212651649,0.6120920278223649
7,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210523,0.01,High-D+Low-R,790.0,0.6025316455696202,0.610126582278481,0.0075949367088608,0.5895198317079683,0.5982089658601423,0.0086891341521739,0.6218658441187042,0.6297485286249331
7,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210523,0.01,High-D+High-R,791.0,0.7383059418457648,0.7496839443742098,0.011378002528445,0.7297872709407299,0.7437300795087536,0.0139428085680236,0.6218658441187042,0.6297485286249331
7,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210523,0.05,High-D+Low-R,790.0,0.6025316455696202,0.6075949367088608,0.0050632911392405,0.5895198317079683,0.595666127573205,0.0061462958652367,0.6134489278163692,0.6179775280898876
7,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210523,0.05,High-D+High-R,791.0,0.7383059418457648,0.7408343868520859,0.0025284450063211,0.7297872709407299,0.7291415458580671,-0.0006457250826628,0.6134489278163692,0.6179775280898876
7,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210523,0.1,High-D+Low-R,790.0,0.6025316455696202,0.6151898734177215,0.0126582278481012,0.5895198317079683,0.6040876595312079,0.0145678278232396,0.6199772602343224,0.6276083467094703
7,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210523,0.1,High-D+High-R,791.0,0.7383059418457648,0.7420986093552465,0.0037926675094817,0.7297872709407299,0.7341021962410567,0.0043149253003267,0.6199772602343224,0.6276083467094703
7,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210523,0.5,High-D+Low-R,790.0,0.6025316455696202,0.620253164556962,0.0177215189873417,0.5895198317079683,0.6091455802928029,0.0196257485848345,0.6069858930324342,0.613697164258962
7,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_205145\runs\mosei\20260614_210523,0.5,High-D+High-R,791.0,0.7383059418457648,0.7484197218710493,0.0101137800252845,0.7297872709407299,0.733305790033033,0.003518519092303,0.6069858930324342,0.613697164258962
