method,group,n,acc,macro_f1,lambda_align
Concat,Low-D,224.0,0.42410714285714285,0.3865013503638693,
Concat,Mid-D,250.0,0.596,0.5211640211640212,
Concat,High-D,212.0,0.5660377358490566,0.4923439806029939,
Concat,Overall,686.0,0.5306122448979592,0.47147955786149875,
UncondAlign,Low-D,224.0,0.5,0.36855657322181273,0.5
UncondAlign,Mid-D,250.0,0.636,0.45410418310970796,0.5
UncondAlign,High-D,212.0,0.5566037735849056,0.459720982967146,0.5
UncondAlign,Overall,686.0,0.5670553935860059,0.4348551495722151,0.5
