lambda_align,group,n,concat_acc,align_acc,delta_acc,concat_macro_f1,align_macro_f1,delta_macro_f1,valid_macro_f1,valid_acc
0.01,High-D+Low-R,790.0,0.6025316455696202,0.610126582278481,0.0075949367088608,0.5895198317079683,0.5982089658601423,0.008689134152173983,0.6218658441187042,0.6297485286249331
0.01,High-D+High-R,791.0,0.7383059418457648,0.7496839443742098,0.011378002528445008,0.7297872709407299,0.7437300795087536,0.013942808568023657,0.6218658441187042,0.6297485286249331
0.05,High-D+Low-R,790.0,0.6025316455696202,0.6075949367088608,0.005063291139240533,0.5895198317079683,0.595666127573205,0.006146295865236739,0.6134489278163692,0.6179775280898876
0.05,High-D+High-R,791.0,0.7383059418457648,0.7408343868520859,0.0025284450063211006,0.7297872709407299,0.7291415458580671,-0.0006457250826628069,0.6134489278163692,0.6179775280898876
0.1,High-D+Low-R,790.0,0.6025316455696202,0.6151898734177215,0.012658227848101222,0.5895198317079683,0.6040876595312079,0.01456782782323962,0.6199772602343224,0.6276083467094703
0.1,High-D+High-R,791.0,0.7383059418457648,0.7420986093552465,0.0037926675094817064,0.7297872709407299,0.7341021962410567,0.004314925300326733,0.6199772602343224,0.6276083467094703
0.5,High-D+Low-R,790.0,0.6025316455696202,0.620253164556962,0.017721518987341756,0.5895198317079683,0.6091455802928029,0.019625748584834568,0.6069858930324342,0.613697164258962
0.5,High-D+High-R,791.0,0.7383059418457648,0.7484197218710493,0.010113780025284513,0.7297872709407299,0.733305790033033,0.003518519092303052,0.6069858930324342,0.613697164258962
