group,delta_acc,delta_macro_f1,lambda_align
Low-D,-0.01118568232662187,-0.02778785679964435,0.01
Mid-D,0.0023242300987798004,0.0007169109947275931,0.01
High-D,0.009487666034155628,0.010688394607769047,0.01
Overall,0.0008615119534782778,0.0010610713325086563,0.01
