method,group,n,acc,macro_f1,lambda_align
Concat,Low-D,1341.0,0.5704697986577181,0.5278870816849285,
Concat,Mid-D,1721.0,0.5967460778617083,0.5780488003207059,
Concat,High-D,1581.0,0.6704617330803289,0.6628170224257303,
Concat,Overall,4643.0,0.6142580228300668,0.6151098162437162,
UncondAlign,Low-D,1341.0,0.5592841163310962,0.5000992248852841,0.01
UncondAlign,Mid-D,1721.0,0.5990703079604881,0.5787657113154335,0.01
UncondAlign,High-D,1581.0,0.6799493991144845,0.6735054170334993,0.01
UncondAlign,Overall,4643.0,0.6151195347835451,0.6161708875762248,0.01
