group,delta_acc,delta_macro_f1,lambda_align
Low-D,-0.036363636363636376,0.10666404235693405,0.01
Mid-D,-0.027491408934707917,0.06357951640018994,0.01
High-D,-0.004347826086956497,0.04148705096073513,0.01
Overall,-0.02186588921282806,0.07268890348945628,0.01
