group,delta_acc_mean,delta_acc_std,delta_acc_count,delta_macro_f1_mean,delta_macro_f1_std,delta_macro_f1_count,lambda_align_mean,lambda_align_std,lambda_align_count
High-D,0.0037170704522344403,0.034427853259798025,5,0.021260902227062336,0.04877762818036666,5,0.124,0.21113976413740734,5
Low-D,-0.005654254172116661,0.04754866347047806,5,0.04679403285630312,0.04598270824152108,5,0.124,0.21113976413740734,5
Mid-D,-0.00319599303400352,0.026058732689064643,5,0.014511137063789398,0.04994982549711179,5,0.124,0.21113976413740734,5
Overall,-0.00087463556851312,0.02528219637163703,5,0.029363188002227557,0.04307737120687656,5,0.124,0.21113976413740734,5
