group,delta_acc,delta_macro_f1,lambda_align
Low-D,0.0,0.0,0.01
Mid-D,0.0,0.0,0.01
High-D,0.0179372197309417,0.02166249260140446,0.01
Overall,0.005830903790087494,0.008271603595562144,0.01
