method,group,n,acc,macro_f1,lambda_align
Concat,Low-D,195.0,0.3282051282051282,0.16473616473616473,
Concat,Mid-D,268.0,0.39925373134328357,0.1902222222222222,
Concat,High-D,223.0,0.27802690582959644,0.14878752731098105,
Concat,Overall,686.0,0.3396501457725947,0.17057615933356873,
UncondAlign,Low-D,195.0,0.3282051282051282,0.16473616473616473,0.01
UncondAlign,Mid-D,268.0,0.39925373134328357,0.1902222222222222,0.01
UncondAlign,High-D,223.0,0.29596412556053814,0.1704500199123855,0.01
UncondAlign,Overall,686.0,0.3454810495626822,0.17884776292913088,0.01
