method,group,n,acc,macro_f1,lambda_align
Concat,Low-D,187.0,0.5026737967914439,0.2590843631735825,
Concat,Mid-D,181.0,0.4143646408839779,0.2111275720164609,
Concat,High-D,318.0,0.48742138364779874,0.24321623324425903,
Concat,Overall,686.0,0.47230320699708456,0.2389538391068391,
UncondAlign,Low-D,187.0,0.33689839572192515,0.168,0.01
UncondAlign,Mid-D,181.0,0.3812154696132597,0.18400000000000002,0.01
UncondAlign,High-D,318.0,0.31761006289308175,0.16070007955449483,0.01
UncondAlign,Overall,686.0,0.3396501457725947,0.16902430177729413,0.01
