group,delta_acc,delta_macro_f1,lambda_align
Low-D,-0.1657754010695187,-0.09108436317358251,0.01
Mid-D,-0.0331491712707182,-0.027127572016460877,0.01
High-D,-0.169811320754717,-0.0825161536897642,0.01
Overall,-0.13265306122448983,-0.06992953732954496,0.01
