group,delta_acc,delta_macro_f1,lambda_align
Low-D,0.01379763469119577,0.03012139964080235,0.01
Mid-D,0.002461538461538515,0.0015354383508385805,0.01
High-D,-0.007352941176470562,-0.008476818660186125,0.01
Overall,0.0030152918371741944,0.002481056298498152,0.01
