method,group,n,acc,macro_f1,lambda_align
Concat,Low-D,1522.0,0.5492772667542707,0.4668384643418408,
Concat,Mid-D,1625.0,0.5987692307692307,0.5851506906953009,
Concat,High-D,1496.0,0.6744652406417112,0.6613542947306644,
Concat,Overall,4643.0,0.6069351712255008,0.6057401238443149,
UncondAlign,Low-D,1522.0,0.5630749014454665,0.49695986398264314,0.01
UncondAlign,Mid-D,1625.0,0.6012307692307692,0.5866861290461395,0.01
UncondAlign,High-D,1496.0,0.6671122994652406,0.6528774760704783,0.01
UncondAlign,Overall,4643.0,0.609950463062675,0.608221180142813,0.01
