lambda_align,group,n,concat_acc,align_acc,delta_acc,concat_macro_f1,align_macro_f1,delta_macro_f1,valid_macro_f1,valid_acc
0.01,High-D+Low-R,748.0,0.6082887700534759,0.5989304812834224,-0.009358288770053513,0.596984957839812,0.5897248765711549,-0.00726008126865707,0.6200777595901695,0.6292134831460674
0.01,High-D+High-R,748.0,0.7406417112299465,0.7352941176470589,-0.005347593582887611,0.7135640990215347,0.7043849447825107,-0.009179154239024045,0.6200777595901695,0.6292134831460674
0.05,High-D+Low-R,748.0,0.6082887700534759,0.6283422459893048,0.020053475935828846,0.596984957839812,0.614121790276629,0.017136832436817073,0.6139868555207709,0.6260032102728732
0.05,High-D+High-R,748.0,0.7406417112299465,0.7299465240641712,-0.010695187165775333,0.7135640990215347,0.7088414083407147,-0.004722690680819985,0.6139868555207709,0.6260032102728732
0.1,High-D+Low-R,748.0,0.6082887700534759,0.6029411764705882,-0.005347593582887722,0.596984957839812,0.5868587807509894,-0.010126177088822574,0.6089654747890995,0.6142322097378277
0.1,High-D+High-R,748.0,0.7406417112299465,0.7393048128342246,-0.0013368983957219305,0.7135640990215347,0.7063358567974252,-0.00722824222410956,0.6089654747890995,0.6142322097378277
0.5,High-D+Low-R,748.0,0.6082887700534759,0.6176470588235294,0.009358288770053513,0.596984957839812,0.6001160335141996,0.00313107567438764,0.6056935210511109,0.6131621187800963
0.5,High-D+High-R,748.0,0.7406417112299465,0.7379679144385026,-0.002673796791443861,0.7135640990215347,0.7071947614504941,-0.006369337571040634,0.6056935210511109,0.6131621187800963
