group,delta_acc_mean,delta_acc_std,delta_acc_count,delta_macro_f1_mean,delta_macro_f1_std,delta_macro_f1_count,lambda_align_mean,lambda_align_std,lambda_align_count
High-D,-0.00197768991552224,0.00646514917949321,5,-0.0005654827950197803,0.011185794291047935,5,0.044000000000000004,0.03714835124201342,5
Low-D,0.00756334813298296,0.011108616374677525,5,0.01294152293314208,0.021692265034747308,5,0.044000000000000004,0.03714835124201342,5
Mid-D,0.0025404604899030405,0.01285259095243836,5,0.0032725521243936197,0.01833724373078495,5,0.044000000000000004,0.03714835124201342,5
Overall,0.0025845358604350806,0.00926000121762031,5,0.00263624977776266,0.010714439830125863,5,0.044000000000000004,0.03714835124201342,5
