method,group,acc_mean,acc_std,acc_count,macro_f1_mean,macro_f1_std,macro_f1_count,n_mean,n_std,n_count
Concat,High-D,0.692817282842253,0.007775128255114585,5,0.6850139807735391,0.013684295178185738,5,1543.6,43.98636152263564,5
Concat,Low-D,0.5403731514555515,0.006727335998250049,5,0.4825261491147025,0.02816402586636554,5,1430.4,36.977019890737544,5
Concat,Mid-D,0.5968835712578342,0.008845374285459503,5,0.5740007787765387,0.014495680087698385,5,1669.0,32.109188716004645,5
Concat,Overall,0.6114581089812621,0.004885331131688025,5,0.6107804637263591,0.005468944659934008,5,4643.0,0.0,5
UncondAlign,High-D,0.6908395929267307,0.0070422290729852165,5,0.6844484979785194,0.010129047918434721,5,1543.6,43.98636152263564,5
UncondAlign,Low-D,0.5479364995885345,0.010149697196326482,5,0.4954676720478446,0.009951965741619839,5,1430.4,36.977019890737544,5
UncondAlign,Mid-D,0.5994240317477372,0.009681933310511846,5,0.5772733309009322,0.011847910171534633,5,1669.0,32.109188716004645,5
UncondAlign,Overall,0.6140426448416972,0.0051375664190723876,5,0.6134167135041217,0.0054807996474801,5,4643.0,0.0,5
