group,delta_acc_mean,delta_acc_std,delta_acc_count,delta_macro_f1_mean,delta_macro_f1_std,delta_macro_f1_count,lambda_align_mean,lambda_align_std,lambda_align_count
High-D+High-R,-0.00358739773496038,0.007331150867746058,5,-0.0011921012622847804,0.014693953050921839,5,0.044000000000000004,0.03714835124201342,5
High-D+Low-R,-0.0003648820273559602,0.008301015971513982,5,-0.00187155731920298,0.008257283962518288,5,0.044000000000000004,0.03714835124201342,5
