group,delta_acc,delta_macro_f1,lambda_align
Low-D,0.0007153075822603494,-0.006671644555545253,0.05
Mid-D,0.009529147982062836,0.005445595738761688,0.05
High-D,0.002053388090349051,0.0013886741237048028,0.05
Overall,0.0045229377557614026,0.0033403151938597997,0.05
