method,group,n,acc,macro_f1,lambda_align
Concat,Low-D,1398.0,0.5536480686695279,0.5188836692282208,
Concat,Mid-D,1784.0,0.5908071748878924,0.5838576693541395,
Concat,High-D,1461.0,0.6913073237508556,0.6805705565269301,
Concat,Overall,4643.0,0.6112427309928925,0.6130438992124402,
UncondAlign,Low-D,1398.0,0.5543633762517882,0.5122120246726756,0.05
UncondAlign,Mid-D,1784.0,0.6003363228699552,0.5893032650929012,0.05
UncondAlign,High-D,1461.0,0.6933607118412046,0.6819592306506349,0.05
UncondAlign,Overall,4643.0,0.6157656687486539,0.6163842144063,0.05
