lambda_align,group,n,concat_acc,align_acc,delta_acc,concat_macro_f1,align_macro_f1,delta_macro_f1,valid_macro_f1,valid_acc
0.01,High-D+Low-R,730.0,0.6397260273972603,0.6356164383561644,-0.004109589041095818,0.6308613732886915,0.6309115707735399,5.019748484835773e-05,0.6178642075988541,0.6233279828785446
0.01,High-D+High-R,731.0,0.7428180574555403,0.7496580027359782,0.0068399452804378535,0.7230824599749557,0.7280852972562349,0.00500283728127926,0.6178642075988541,0.6233279828785446
0.05,High-D+Low-R,730.0,0.6397260273972603,0.6424657534246575,0.002739726027397249,0.6308613732886915,0.6369928749434437,0.0061315016547521806,0.6230813220246595,0.6286784376672017
0.05,High-D+High-R,731.0,0.7428180574555403,0.7441860465116279,0.001367989056087593,0.7230824599749557,0.7181419589650019,-0.004940501009953802,0.6230813220246595,0.6286784376672017
0.1,High-D+Low-R,730.0,0.6397260273972603,0.6438356164383562,0.004109589041095929,0.6308613732886915,0.6380455095155657,0.007184136226874194,0.6183265791061676,0.628143392188336
0.1,High-D+High-R,731.0,0.7428180574555403,0.7455540355677155,0.002735978112175186,0.7230824599749557,0.7280991474130577,0.005016687438102019,0.6183265791061676,0.628143392188336
0.5,High-D+Low-R,730.0,0.6397260273972603,0.6493150684931507,0.009589041095890427,0.6308613732886915,0.6400552932351431,0.009193919946451579,0.6054327738617915,0.6120920278223649
0.5,High-D+High-R,731.0,0.7428180574555403,0.7455540355677155,0.002735978112175186,0.7230824599749557,0.7155961340831037,-0.0074863258918519415,0.6054327738617915,0.6120920278223649
