group,delta_acc,delta_macro_f1,lambda_align
Low-D,0.011795543905635641,0.021841106363068963,0.05
Mid-D,-0.002476780185758476,0.0006772167970958698,0.05
High-D,0.0066577896138482195,0.010950310967194898,0.05
Overall,0.005169071720870111,0.005728616605467751,0.05
