lambda_align,group,n,concat_acc,align_acc,delta_acc,concat_macro_f1,align_macro_f1,delta_macro_f1,valid_macro_f1,valid_acc
0.01,High-D+Low-R,751.0,0.6271637816245007,0.6338215712383488,0.0066577896138481085,0.611753198576728,0.6192634805423088,0.0075102819655807895,0.612880898548917,0.6195826645264848
0.01,High-D+High-R,751.0,0.7217043941411452,0.7230359520639148,0.0013315579227696217,0.7024717644552633,0.7107420975395525,0.00827033308428926,0.612880898548917,0.6195826645264848
0.05,High-D+Low-R,751.0,0.6271637816245007,0.6378162450066578,0.010652463382157085,0.611753198576728,0.6249933168249212,0.013240118248193156,0.6222678400144069,0.6276083467094703
0.05,High-D+High-R,751.0,0.7217043941411452,0.7243675099866844,0.0026631158455392434,0.7024717644552633,0.7106157255485318,0.008143961093268537,0.6222678400144069,0.6276083467094703
0.1,High-D+Low-R,751.0,0.6271637816245007,0.62982689747004,0.0026631158455392434,0.611753198576728,0.6154414428661145,0.003688244289386411,0.6197768016573781,0.6249331193151418
0.1,High-D+High-R,751.0,0.7217043941411452,0.729693741677763,0.007989347536617841,0.7024717644552633,0.7200498602330542,0.017578095777790903,0.6197768016573781,0.6249331193151418
0.5,High-D+Low-R,751.0,0.6271637816245007,0.6351531291611185,0.007989347536617841,0.611753198576728,0.6194560474848129,0.007702848908084814,0.6024339684355764,0.6094168004280364
0.5,High-D+High-R,751.0,0.7217043941411452,0.7323568575233023,0.010652463382157085,0.7024717644552633,0.7088437140923328,0.006371949637069552,0.6024339684355764,0.6094168004280364
