method,group,n,acc,macro_f1,lambda_align
Concat,Low-D,1526.0,0.5327653997378768,0.49645419627010207,
Concat,Mid-D,1615.0,0.6030959752321982,0.594146513292865,
Concat,High-D,1502.0,0.6744340878828229,0.6584774551556238,
Concat,Overall,4643.0,0.6030583674348482,0.6046123630189615,
UncondAlign,Low-D,1526.0,0.5445609436435125,0.518295302633171,0.05
UncondAlign,Mid-D,1615.0,0.6006191950464397,0.5948237300899609,0.05
UncondAlign,High-D,1502.0,0.6810918774966711,0.6694277661228187,0.05
UncondAlign,Overall,4643.0,0.6082274391557183,0.6103409796244292,0.05
