lambda_align,group,n,concat_acc,align_acc,delta_acc,concat_macro_f1,align_macro_f1,delta_macro_f1,valid_macro_f1,valid_acc
0.01,High-D+Low-R,761.0,0.6202365308804205,0.6097240473061761,-0.010512483574244391,0.6029544824862045,0.5971392790865168,-0.005815203399687774,0.6156808083192511,0.6238630283574104
0.01,High-D+High-R,762.0,0.7375328083989501,0.7414698162729659,0.003937007874015852,0.7332869837369133,0.740004523064873,0.0067175393279597095,0.6156808083192511,0.6238630283574104
0.05,High-D+Low-R,761.0,0.6202365308804205,0.6189224704336399,-0.0013140604467806183,0.6029544824862045,0.5956253540531932,-0.007329128433011367,0.6125799454598623,0.6211878009630819
0.05,High-D+High-R,762.0,0.7375328083989501,0.7375328083989501,0.0,0.7332869837369133,0.7372772502792264,0.003990266542313159,0.6125799454598623,0.6211878009630819
0.1,High-D+Low-R,761.0,0.6202365308804205,0.6123521681997371,-0.007884362680683377,0.6029544824862045,0.5919667883018668,-0.01098769418433776,0.61399999444998,0.6233279828785446
0.1,High-D+High-R,762.0,0.7375328083989501,0.7401574803149606,0.002624671916010568,0.7332869837369133,0.740077479188901,0.0067904954519877325,0.61399999444998,0.6233279828785446
0.5,High-D+Low-R,761.0,0.6202365308804205,0.5755584756898817,-0.0446780551905388,0.6029544824862045,0.5679104793898927,-0.03504400309631184,0.5746770511838081,0.5815944355270198
0.5,High-D+High-R,762.0,0.7375328083989501,0.7217847769028871,-0.015748031496062964,0.7332869837369133,0.7101123294163942,-0.023174654320519017,0.5746770511838081,0.5815944355270198
