group,delta_acc,delta_macro_f1,lambda_align
Low-D,-0.018907563025210128,-0.048902013649697096,0.01
Mid-D,0.008274231678487065,8.814944699431226e-05,0.01
High-D,-0.0032829940906106136,-0.0008679531783616357,0.01
Overall,-0.003876803790652583,-0.006070384433631504,0.01
