method,group,n,acc,macro_f1,lambda_align
Concat,Low-D,1428.0,0.5609243697478992,0.5375857852258021,
Concat,Mid-D,1692.0,0.5957446808510638,0.5842909567054857,
Concat,High-D,1523.0,0.6789231779382797,0.6718910620060671,
Concat,Overall,4643.0,0.6123196209347405,0.6138020262858679,
UncondAlign,Low-D,1428.0,0.542016806722689,0.48868377157610504,0.01
UncondAlign,Mid-D,1692.0,0.6040189125295509,0.58437910615248,0.01
UncondAlign,High-D,1523.0,0.6756401838476691,0.6710231088277054,0.01
UncondAlign,Overall,4643.0,0.6084428171440879,0.6077316418522364,0.01
