method,group,n,acc,macro_f1,lambda_align
Concat,Low-D,165.0,0.503030303030303,0.32583454281567487,
Concat,Mid-D,291.0,0.6323024054982818,0.4539750537859592,
Concat,High-D,230.0,0.5217391304347826,0.37714285714285717,
Concat,Overall,686.0,0.5641399416909622,0.40406085456297197,
UncondAlign,Low-D,165.0,0.4666666666666667,0.4324985851726089,0.01
UncondAlign,Mid-D,291.0,0.6048109965635738,0.5175545701861491,0.01
UncondAlign,High-D,230.0,0.5173913043478261,0.4186299081035923,0.01
UncondAlign,Overall,686.0,0.5422740524781341,0.47674975805242825,0.01
