method,group,n,acc,macro_f1,lambda_align
Concat,Low-D,1405.0,0.5473309608540925,0.484102686703896,
Concat,Mid-D,1715.0,0.6075801749271137,0.5896661784628309,
Concat,High-D,1523.0,0.6874589625738674,0.6852366867632286,
Concat,Overall,4643.0,0.6155502907602843,0.6134595752034816,
UncondAlign,Low-D,1405.0,0.5451957295373665,0.5038616548327025,0.1
UncondAlign,Mid-D,1715.0,0.5965014577259475,0.5902526830464292,0.1
UncondAlign,High-D,1523.0,0.6973079448456992,0.6912332079797568,0.1
UncondAlign,Overall,4643.0,0.6140426448416971,0.6152735643610124,0.1
