lambda_align,group,n,concat_acc,align_acc,delta_acc,concat_macro_f1,align_macro_f1,delta_macro_f1,valid_macro_f1,valid_acc
0.01,High-D+Low-R,761.0,0.6373193166885677,0.6452036793692509,0.007884362680683266,0.632686544215966,0.6404140986421336,0.007727554426167571,0.6122505666386683,0.6238630283574104
0.01,High-D+High-R,762.0,0.7375328083989501,0.7532808398950132,0.015748031496063075,0.7349895347687264,0.7536752967912476,0.018685762022521146,0.6122505666386683,0.6238630283574104
0.05,High-D+Low-R,761.0,0.6373193166885677,0.6412614980289093,0.003942181340341633,0.632686544215966,0.6313368238260414,-0.0013497203899246468,0.6111927398086205,0.6190476190476191
0.05,High-D+High-R,762.0,0.7375328083989501,0.7506561679790026,0.013123359580052507,0.7349895347687264,0.7506829342336744,0.015693399464947966,0.6111927398086205,0.6190476190476191
0.1,High-D+Low-R,761.0,0.6373193166885677,0.6452036793692509,0.007884362680683266,0.632686544215966,0.6347996330478786,0.002113088831912524,0.6145065577528407,0.6179775280898876
0.1,High-D+High-R,762.0,0.7375328083989501,0.7493438320209974,0.011811023622047334,0.7349895347687264,0.7464314942781719,0.011441959509445487,0.6145065577528407,0.6179775280898876
0.5,High-D+Low-R,761.0,0.6373193166885677,0.6346911957950065,-0.0026281208935611255,0.632686544215966,0.6222135471064494,-0.010472997109516657,0.5938428146328617,0.5981808453718566
0.5,High-D+High-R,762.0,0.7375328083989501,0.7335958005249343,-0.003937007874015741,0.7349895347687264,0.7247818054938966,-0.010207729274829824,0.5938428146328617,0.5981808453718566
