group,delta_acc,delta_macro_f1,lambda_align
Low-D,0.013629842180774676,0.03715596226531909,0.01
Mid-D,0.006602641056422498,0.017711172310089562,0.01
High-D,0.005685407454200875,0.006061096007179523,0.01
Overall,0.008399741546413986,0.012374251824776916,0.01
