method,group,n,acc,macro_f1,lambda_align
Concat,Low-D,1394.0,0.5358680057388809,0.4547162078330966,
Concat,Mid-D,1666.0,0.5942376950780313,0.5557908528364885,
Concat,High-D,1583.0,0.6948831332912192,0.692246383066248,
Concat,Overall,4643.0,0.6110273530045229,0.6067673433926103,
UncondAlign,Low-D,1394.0,0.5494978479196556,0.49187217009841566,0.01
UncondAlign,Mid-D,1666.0,0.6008403361344538,0.5735020251465781,0.01
UncondAlign,High-D,1583.0,0.7005685407454201,0.6983074790734275,0.01
UncondAlign,Overall,4643.0,0.6194270945509369,0.6191415952173872,0.01
