method,group,n,acc,macro_f1,lambda_align
Concat,High-D+Low-R,791.0,0.6030341340075853,0.6039854835643866,
Concat,High-D+High-R,792.0,0.7866161616161617,0.7790644405985953,
UncondAlign,High-D+Low-R,791.0,0.6131479140328698,0.6129135586417758,0.01
UncondAlign,High-D+High-R,792.0,0.7878787878787878,0.7824816016341316,0.01
