method,group,n,acc,macro_f1,lambda_align
Concat,Low-D,1482.0,0.5357624831309041,0.4732890460649218,
Concat,Mid-D,1628.0,0.5915233415233415,0.5757271625373206,
Concat,High-D,1533.0,0.684931506849315,0.6663779682291952,
Concat,Overall,4643.0,0.6045660133534353,0.6061512709399813,
UncondAlign,Low-D,1482.0,0.5593792172739541,0.49686194345093243,0.01
UncondAlign,Mid-D,1628.0,0.6093366093366094,0.5873848233488626,0.01
UncondAlign,High-D,1533.0,0.6881930854533594,0.6816993697729917,0.01
UncondAlign,Overall,4643.0,0.6194270945509369,0.6189603854226047,0.01
